Elemento   TensãoXZ       TensaoYZ       TensaoXY       CentroX       CentroY

1.0      196.029004      -235.234805      306.207094      0.012500      0.015000

2.0      431.344345      -47.143603      433.912967      0.037500      0.015000

3.0      478.556270      -9.510708      478.650767      0.062500      0.015000

4.0      488.341138      -2.231134      488.346235      0.087500      0.015000

5.0      491.617330      -1.889217      491.620959      0.111250      0.015000

6.0      497.680388      -6.194861      497.718942      0.133750      0.015000

7.0      521.110253      -25.044960      521.711746      0.156250      0.015000

8.0      616.916175      -102.696269      625.405541      0.178750      0.015000

9.0      740.119428      -69.271575      743.354100      0.200000      0.015000

10.0      841.366831      -82.599530      845.411632      0.220000      0.015000

11.0      871.824304      36.913322      872.605415      0.240000      0.015000

12.0      715.490768      197.586982      742.271955      0.260000      0.015000

13.0      291.883057      437.824585      526.199664      0.280000      0.015000

14.0      -196.029004      -235.234805      306.207094      0.012500      0.045000

15.0      -431.344345      -47.143603      433.912967      0.037500      0.045000

16.0      -478.556270      -9.510708      478.650767      0.062500      0.045000

17.0      -488.341138      -2.231134      488.346235      0.087500      0.045000

18.0      -491.617330      -1.889217      491.620959      0.111250      0.045000

19.0      -497.680388      -6.194861      497.718942      0.133750      0.045000

20.0      -521.110253      -25.044960      521.711746      0.156250      0.045000

21.0      -616.916175      -102.696269      625.405541      0.178750      0.045000

22.0      -303.839213      -723.691898      784.887399      0.200000      0.045000

23.0      189.388880      -319.892453      371.751703      0.220000      0.045000

24.0      299.251905      63.725497      305.961830      0.240000      0.045000

25.0      245.004546      486.646147      544.840986      0.260000      0.045000

26.0      92.011545      1013.666489      1017.833913      0.280000      0.045000

27.0      -29.738929      -1279.101716      1279.447382      0.200000      0.070000

28.0      1.582507      -535.646209      535.648546      0.220000      0.070000

29.0      76.559621      39.707602      86.244242      0.240000      0.070000

30.0      75.337469      593.257233      598.021637      0.260000      0.070000

31.0      30.099284      1181.783090      1182.166333      0.280000      0.070000

32.0      -0.000000      -1249.362787      1249.362787      0.200000      0.090000

33.0      -0.000000      -596.706573      596.706573      0.220000      0.090000

34.0      0.000000      25.790852      25.790852      0.240000      0.090000

35.0      -0.000000      608.396134      608.396134      0.260000      0.090000

36.0      -0.000000      1211.882374      1211.882374      0.280000      0.090000

37.0      29.738929      -1279.101716      1279.447382      0.200000      0.110000

38.0      -1.582507      -535.646209      535.648546      0.220000      0.110000

39.0      -76.559621      39.707602      86.244242      0.240000      0.110000

40.0      -75.337469      593.257233      598.021637      0.260000      0.110000

41.0      -30.099284      1181.783090      1182.166333      0.280000      0.110000

42.0      196.029004      -235.234805      306.207094      0.012500      0.135000

43.0      431.344345      -47.143603      433.912967      0.037500      0.135000

44.0      478.556270      -9.510708      478.650767      0.062500      0.135000

45.0      488.341138      -2.231134      488.346235      0.087500      0.135000

46.0      491.617330      -1.889217      491.620959      0.111250      0.135000

47.0      497.680388      -6.194861      497.718942      0.133750      0.135000

48.0      521.110253      -25.044960      521.711746      0.156250      0.135000

49.0      616.916175      -102.696269      625.405541      0.178750      0.135000

50.0      303.839213      -723.691898      784.887399      0.200000      0.135000

51.0      -189.388880      -319.892453      371.751703      0.220000      0.135000

52.0      -299.251905      63.725497      305.961830      0.240000      0.135000

53.0      -245.004546      486.646147      544.840986      0.260000      0.135000

54.0      -92.011545      1013.666489      1017.833913      0.280000      0.135000

55.0      -196.029004      -235.234805      306.207094      0.012500      0.165000

56.0      -431.344345      -47.143603      433.912967      0.037500      0.165000

57.0      -478.556270      -9.510708      478.650767      0.062500      0.165000

58.0      -488.341138      -2.231134      488.346235      0.087500      0.165000

59.0      -491.617330      -1.889217      491.620959      0.111250      0.165000

60.0      -497.680388      -6.194861      497.718942      0.133750      0.165000

61.0      -521.110253      -25.044960      521.711746      0.156250      0.165000

62.0      -616.916175      -102.696269      625.405541      0.178750      0.165000

63.0      -740.119428      -69.271575      743.354100      0.200000      0.165000

64.0      -841.366831      -82.599530      845.411632      0.220000      0.165000

65.0      -871.824304      36.913322      872.605415      0.240000      0.165000

66.0      -715.490768      197.586982      742.271955      0.260000      0.165000

67.0      -291.883057      437.824585      526.199664      0.280000      0.165000



O valor máximo de tensão é 1.279447e+03 Pa
 e situa-se no ponto de coordenadas x = 2.000000e-01 m e y = 1.100000e-01 m.


O valor mínimo de tensão é 2.579085e+01 Pa
 e situa-se no ponto de coordenadas x = 2.400000e-01 m e y = 9.000000e-02 m.


O valor de constante de torção é 6.118910e-05 m^4.


O valor da Rigidez Torsional é 4.650371e+06 Pa.m^4.
